initial_mass,initial_Z,star_age,model_number,log_Teff,log_L,log_g
1.0,0.01,7727828000.0,25960,3.72769468,3.73865602,0.32098022
1.0,0.01,7727828000.0,25959,3.72756867,3.73863273,0.32049979
1.0,0.01,7727828000.0,25958,3.72745124,3.73867418,0.31998893
1.0,0.01,7727828000.0,25957,3.72724616,3.73865651,0.31918681
1.0,0.01,7727828000.0,25955,3.7269256,3.73863027,0.31793159
1.0,0.01,7727828000.0,25951,3.72632299,3.73866707,0.31548588
1.0,0.01,7727828000.0,25954,3.72681003,3.73865754,0.31744232
1.0,0.01,7727828000.0,25961,3.72784088,3.73865757,0.32156308
1.0,0.01,7727828000.0,25952,3.72648544,3.73868046,0.31612185
1.0,0.01,7727828000.0,25956,3.72707509,3.73865347,0.31850597
1.0,0.01,7727828000.0,25953,3.72669669,3.73867572,0.31697108
1.0,0.01,7727828000.0,25969,3.72912426,3.73866287,0.32668829
1.0,0.01,7727828000.0,25963,3.72814576,3.73863976,0.32279972
1.0,0.01,7727828000.0,25964,3.72825425,3.73865876,0.32321441
1.0,0.01,7727828000.0,25965,3.72838423,3.73866079,0.32373195
1.0,0.01,7727828000.0,25966,3.72856406,3.73865157,0.32446013
1.0,0.01,7727828000.0,25967,3.72875645,3.73865425,0.32522655
1.0,0.01,7727828000.0,25968,3.72898511,3.73866061,0.32613426
1.0,0.01,7727828000.0,25970,3.72926554,3.73865846,0.32725749
1.0,0.01,7727828000.0,25971,3.72943076,3.73866728,0.32790913
1.0,0.01,7727828000.0,25974,3.73002679,3.73863883,0.33032032
1.0,0.01,7727828000.0,25973,3.72988563,3.73865044,0.32974442
1.0,0.01,7727828000.0,25972,3.72964843,3.73865206,0.32879456
1.0,0.01,7727828000.0,25962,3.72803849,3.73866098,0.32234966
1.0,0.01,7727828000.0,25950,3.7261889,3.73865862,0.31495831
1.0,0.01,7727828000.0,25931,3.72328952,3.73866471,0.3033623
1.0,0.01,7727828000.0,25948,3.7258256,3.73866541,0.31349925
1.0,0.01,7727828000.0,25924,3.72222078,3.7386753,0.2990796
1.0,0.01,7727828000.0,25925,3.72248309,3.73867687,0.30012666
1.0,0.01,7727828000.0,25975,3.73021922,3.73865334,0.33107518
1.0,0.01,7727828000.0,25926,3.72260077,3.73866128,0.30061262
1.0,0.01,7727828000.0,25927,3.72273925,3.73867609,0.30115138
1.0,0.01,7727828000.0,25928,3.72288833,3.73866654,0.30175683
1.0,0.01,7727828000.0,25929,3.72307076,3.73867096,0.30248159
1.0,0.01,7727828000.0,25930,3.7231811,3.73868192,0.30291171
1.0,0.01,7727828000.0,25932,3.72342395,3.73867731,0.30388702
1.0,0.01,7727828000.0,25933,3.72357949,3.73867907,0.304507
1.0,0.01,7727828000.0,25934,3.72380925,3.73867021,0.30543436
1.0,0.01,7727828000.0,25949,3.72605248,3.73867447,0.31439712
1.0,0.01,7727828000.0,25935,3.72393339,3.73866391,0.30593689
1.0,0.01,7727828000.0,25937,3.72418378,3.7386644,0.30693727
1.0,0.01,7727828000.0,25938,3.72434914,3.73867856,0.3075841
1.0,0.01,7727828000.0,25939,3.72457123,3.73866124,0.30848923
1.0,0.01,7727828000.0,25940,3.72469126,3.73867116,0.3089591
1.0,0.01,7727828000.0,25941,3.72481301,3.73866788,0.30944905
1.0,0.01,7727828000.0,25942,3.72497149,3.73865704,0.31009342
1.0,0.01,7727828000.0,25943,3.72514734,3.7386707,0.3107827
1.0,0.01,7727828000.0,25944,3.72525338,3.73867343,0.31120384
1.0,0.01,7727828000.0,25945,3.72535931,3.73866538,0.31163535
1.0,0.01,7727828000.0,25946,3.72548883,3.73867317,0.3121453
1.0,0.01,7727828000.0,25947,3.72564317,3.73867514,0.31276027
1.0,0.01,7727828000.0,25936,3.72404771,3.73866508,0.30639271
1.0,0.01,7727828000.0,25976,3.73039273,3.73862852,0.33179365
1.0,0.01,7727828000.0,26018,3.73895124,3.73861863,0.36602028
1.0,0.01,7727828000.0,25978,3.73073159,3.73863074,0.33314606
1.0,0.01,7727828000.0,26007,3.73647556,3.73863625,0.35610452
1.0,0.01,7727828000.0,26008,3.73668014,3.73862832,0.3569304
1.0,0.01,7727828000.0,26009,3.73685827,3.73861788,0.357653
1.0,0.01,7727828000.0,26010,3.73707863,3.73861601,0.35853589
1.0,0.01,7727828000.0,26011,3.73734378,3.738628,0.35958399
1.0,0.01,7727828000.0,26012,3.73766104,3.73861956,0.36086087
1.0,0.01,7727828000.0,26013,3.73787082,3.73862538,0.36169379
1.0,0.01,7727828000.0,26014,3.73806473,3.73861658,0.36247789
1.0,0.01,7727828000.0,26015,3.73829875,3.73862531,0.36340477
1.0,0.01,7727828000.0,26016,3.738578,3.73861851,0.36452805
1.0,0.01,7727828000.0,26017,3.73878072,3.73863032,0.36532681
1.0,0.01,7727828000.0,26006,3.73617313,3.73862431,0.35490735
1.0,0.01,7727828000.0,26019,3.73916731,3.73859593,0.36690685
1.0,0.01,7727828000.0,26021,3.73971937,3.7386064,0.36910361
1.0,0.01,7727828000.0,26022,3.74007174,3.73860651,0.37051237
1.0,0.01,7727828000.0,26023,3.74033752,3.73861578,0.3715658
1.0,0.01,7727828000.0,26024,3.74056059,3.73860445,0.37246904
1.0,0.01,7727828000.0,26025,3.74082804,3.73862167,0.37352111
1.0,0.01,7727828000.0,26026,3.74114848,3.73862623,0.37479778
1.0,0.01,7727828000.0,26027,3.74135884,3.73859629,0.3756688
1.0,0.01,7727828000.0,26028,3.74155467,3.73860465,0.37644344
1.0,0.01,7727828000.0,26029,3.74179599,3.73859983,0.37741313
1.0,0.01,7727828000.0,25923,3.72205169,3.73865545,0.29842358
1.0,0.01,7727828000.0,26030,3.74208047,3.73860547,0.37854495
1.0,0.01,7727828000.0,26020,3.73941515,3.73862144,0.36787225
1.0,0.01,7727828000.0,25977,3.7306067,3.73865005,0.33262748
1.0,0.01,7727828000.0,26005,3.73592351,3.73862813,0.35390555
1.0,0.01,7727828000.0,26003,3.73551703,3.7386248,0.35228371
1.0,0.01,7727828000.0,25979,3.73085583,3.7386269,0.33364656
1.0,0.01,7727828000.0,25980,3.7310077,3.7386385,0.33424211
1.0,0.01,7727828000.0,25981,3.73121043,3.73865809,0.335033
1.0,0.01,7727828000.0,25982,3.73143823,3.73864945,0.33595235
1.0,0.01,7727828000.0,25983,3.73157914,3.73865931,0.33650582
1.0,0.01,7727828000.0,25984,3.73173052,3.73865484,0.33711548
1.0,0.01,7727828000.0,25985,3.73189349,3.73864326,0.33777857
1.0,0.01,7727828000.0,25986,3.73209022,3.73865214,0.33855621
1.0,0.01,7727828000.0,25987,3.73232041,3.7386423,0.33948629
1.0,0.01,7727828000.0,25988,3.7324856,3.73863214,0.34015686
1.0,0.01,7727828000.0,25989,3.7326369,3.73863827,0.34075561
1.0,0.01,7727828000.0,26004,3.73568761,3.73862892,0.35296156
1.0,0.01,7727828000.0,25990,3.73281389,3.73864472,0.34145678
1.0,0.01,7727828000.0,25992,3.73326558,3.73864749,0.34325977
1.0,0.01,7727828000.0,25993,3.73343575,3.73863317,0.34395445
1.0,0.01,7727828000.0,25994,3.73358682,3.73863352,0.34455803
1.0,0.01,7727828000.0,25995,3.73377038,3.73864439,0.34528102
