initial_mass,initial_Z,star_age,model_number,log_Teff,log_L,log_g
1.4,0.005,1967575000.0,39351,3.70515775,3.68524605,0.33108274
1.4,0.005,1967575000.0,39357,3.70920542,3.68375139,0.34876009
1.4,0.005,1967575000.0,39358,3.71025786,3.68341649,0.35330298
1.4,0.005,1967575000.0,39359,3.7108306,3.68322026,0.35578914
1.4,0.005,1967575000.0,39360,3.71143659,3.68302106,0.35841126
1.4,0.005,1967575000.0,39361,3.7121924,3.68277622,0.3616781
1.4,0.005,1967575000.0,39362,3.71307151,3.68249283,0.36547643
1.4,0.005,1967575000.0,39363,3.7141813,3.68214544,0.3702612
1.4,0.005,1967575000.0,39364,3.71484119,3.68194937,0.37309578
1.4,0.005,1967575000.0,39365,3.71557719,3.68174812,0.37624
1.4,0.005,1967575000.0,39366,3.71640785,3.68150155,0.37980795
1.4,0.005,1967575000.0,39367,3.71743799,3.68120359,0.38422496
1.4,0.005,1967575000.0,39368,3.7186919,3.68085355,0.38958887
1.4,0.005,1967575000.0,39369,3.71945179,3.68064597,0.39283495
1.4,0.005,1967575000.0,39370,3.72031076,3.6804392,0.39647657
1.4,0.005,1967575000.0,39356,3.70839629,3.68402614,0.34525032
1.4,0.005,1967575000.0,39355,3.7077844,3.68426338,0.34256672
1.4,0.005,1967575000.0,39354,3.70725387,3.68445506,0.34025396
1.4,0.005,1967575000.0,39353,3.70673351,3.6846495,0.33797913
1.4,0.005,1967575000.0,39336,3.69636521,3.68916713,0.29201314
1.4,0.005,1967575000.0,39337,3.69685305,3.68891115,0.29421908
1.4,0.005,1967575000.0,39338,3.69744932,3.68861355,0.29690005
1.4,0.005,1967575000.0,39339,3.69822533,3.68825306,0.30036256
1.4,0.005,1967575000.0,39340,3.69865879,3.6880349,0.30231339
1.4,0.005,1967575000.0,39341,3.69910997,3.68782544,0.30432636
1.4,0.005,1967575000.0,39342,3.69966582,3.68756611,0.30680762
1.4,0.005,1967575000.0,39343,3.70034782,3.68725763,0.30984239
1.4,0.005,1967575000.0,39345,3.70119728,3.68688917,0.31360668
1.4,0.005,1967575000.0,39346,3.70168884,3.68666379,0.3157971
1.4,0.005,1967575000.0,39347,3.70230564,3.68640468,0.31852192
1.4,0.005,1967575000.0,39348,3.70310579,3.68608146,0.32204403
1.4,0.005,1967575000.0,39349,3.70401181,3.68570023,0.32604728
1.4,0.005,1967575000.0,39350,3.70460217,3.68547732,0.3286304
1.4,0.005,1967575000.0,39352,3.70585228,3.68498085,0.3341246
1.4,0.005,1967575000.0,39344,3.70076458,3.68707462,0.31169145
1.4,0.005,1967576000.0,39438,4.1020016,3.65849637,1.94511117
1.4,0.005,1967576000.0,39419,3.9054226,3.66478764,1.15251183
1.4,0.005,1967576000.0,39418,3.89334362,3.66520096,1.10378375
1.4,0.005,1967576000.0,39417,3.88115143,3.66565969,1.05455759
1.4,0.005,1967576000.0,39416,3.86881996,3.66617955,1.0047134
1.4,0.005,1967576000.0,39415,3.85560388,3.66678393,0.95124658
1.4,0.005,1967576000.0,39407,3.80118501,3.66989188,0.7304737
1.4,0.005,1967576000.0,39413,3.83610798,3.66777409,0.87227599
1.4,0.005,1967576000.0,39412,3.82911987,3.66816074,0.84393819
1.4,0.005,1967576000.0,39411,3.82346164,3.66848703,0.82098008
1.4,0.005,1967576000.0,39410,3.81886168,3.66876249,0.80230571
1.4,0.005,1967576000.0,39409,3.81421194,3.6690376,0.78343259
1.4,0.005,1967576000.0,39408,3.80695068,3.66950033,0.75392651
1.4,0.005,1967576000.0,39420,3.91714329,3.66441851,1.19976271
1.4,0.005,1967576000.0,39414,3.84477878,3.6673185,0.90741328
1.4,0.005,1967576000.0,39421,3.92809617,3.66408856,1.24390335
1.4,0.005,1967576000.0,39429,4.01450873,3.66144469,1.59219289
1.4,0.005,1967576000.0,39423,3.94820193,3.66349582,1.3249178
1.4,0.005,1967576000.0,39406,3.796564,3.67021818,0.71166457
1.4,0.005,1967576000.0,39437,4.09407471,3.6586893,1.91321068
1.4,0.005,1967576000.0,39436,4.08586843,3.6589409,1.88013399
1.4,0.005,1967576000.0,39435,4.07553492,3.65929004,1.83845082
1.4,0.005,1967576000.0,39434,4.06527584,3.65965512,1.79704955
1.4,0.005,1967576000.0,39433,4.05539696,3.66001257,1.75717672
1.4,0.005,1967576000.0,39422,3.93837568,3.66378444,1.28532481
1.4,0.005,1967576000.0,39432,4.04612428,3.66034746,1.71975132
1.4,0.005,1967576000.0,39430,4.0241558,3.66111725,1.63110827
1.4,0.005,1967576000.0,39428,4.00292251,3.6618269,1.54546628
1.4,0.005,1967576000.0,39427,3.99239085,3.66216528,1.50300167
1.4,0.005,1967576000.0,39426,3.98296928,3.66245962,1.46502149
1.4,0.005,1967576000.0,39425,3.97248402,3.66277789,1.42276272
1.4,0.005,1967576000.0,39424,3.95958203,3.66316159,1.37077174
1.4,0.005,1967576000.0,39431,4.03475211,3.66075009,1.67386034
1.4,0.005,1967576000.0,39405,3.79278007,3.6704952,0.69625285
1.4,0.005,1967576000.0,39389,3.74865024,3.67499183,0.51525577
1.4,0.005,1967576000.0,39403,3.78685891,3.67095545,0.67210974
1.4,0.005,1967576000.0,39404,3.78982949,3.67072443,0.68422219
1.4,0.005,1967576000.0,39371,3.72127435,3.68018985,0.40057903
1.4,0.005,1967576000.0,39372,3.72243178,3.67988698,0.40551011
1.4,0.005,1967576000.0,39373,3.72390141,3.67952623,0.41174762
1.4,0.005,1967576000.0,39374,3.72565563,3.67909959,0.419189
1.4,0.005,1967576000.0,39376,3.72798883,3.67860147,0.42901747
1.4,0.005,1967576000.0,39377,3.72934418,3.67829771,0.43474119
1.4,0.005,1967576000.0,39378,3.73111177,3.67794239,0.44216513
1.4,0.005,1967576000.0,39379,3.73215754,3.67772965,0.44655992
1.4,0.005,1967576000.0,39380,3.73334379,3.67751397,0.45151957
1.4,0.005,1967576000.0,39381,3.73465485,3.6772565,0.45702006
1.4,0.005,1967576000.0,39382,3.7362927,3.67695089,0.46387562
1.4,0.005,1967576000.0,39383,3.73839836,3.67658824,0.47265919
1.4,0.005,1967576000.0,39384,3.73964618,3.67636754,0.47787014
1.4,0.005,1967576000.0,39385,3.74093297,3.67614956,0.48323427
1.4,0.005,1967576000.0,39375,3.72687533,3.67885408,0.4243121
1.4,0.005,1967576000.0,39387,3.74458799,3.67558067,0.4984206
1.4,0.005,1967576000.0,39402,3.78210799,3.67133886,0.6527242
1.4,0.005,1967576000.0,39401,3.7784502,3.67166641,0.63776678
1.4,0.005,1967576000.0,39400,3.77541829,3.67193632,0.62537032
1.4,0.005,1967576000.0,39399,3.77304263,3.67216189,0.61564304
1.4,0.005,1967576000.0,39398,3.77064508,3.67239303,0.60582264
1.4,0.005,1967576000.0,39386,3.74256312,3.67589503,0.49000819
1.4,0.005,1967576000.0,39396,3.76384737,3.6730934,0.5779344
1.4,0.005,1967576000.0,39397,3.76679082,3.67277291,0.59002731
1.4,0.005,1967576000.0,39394,3.75947323,3.67358675,0.55994658
1.4,0.005,1967576000.0,39393,3.75761199,3.67381151,0.55227784
1.4,0.005,1967576000.0,39392,3.75444254,3.67418406,0.53922915
1.4,0.005,1967576000.0,39391,3.75215101,3.67450187,0.52974662
1.4,0.005,1967576000.0,39390,3.75019333,3.67476835,0.52165059
1.4,0.005,1967576000.0,39388,3.74697272,3.67520947,0.50832903
1.4,0.005,1967576000.0,39395,3.76149055,3.67336201,0.56823962
1.4,0.005,1967577000.0,39446,4.00764614,3.6704877,1.55569695
1.4,0.005,1967577000.0,39445,4.04965297,3.66721772,1.72699532
1.4,0.005,1967577000.0,39444,4.08809334,3.66365233,1.88432219
1.4,0.005,1967577000.0,39443,4.10767652,3.66128085,1.96502641
1.4,0.005,1967577000.0,39441,4.11765747,3.65894009,2.00729095
1.4,0.005,1967577000.0,39440,4.11479206,3.65853065,1.99623877
1.4,0.005,1967577000.0,39439,4.10917324,3.65841793,1.97387619
1.4,0.005,1967577000.0,39442,4.11612753,3.65979259,2.00031869
