initial_mass,initial_Z,star_age,model_number,log_Teff,log_L,log_g
1.1,0.007,4726449000.0,26618,3.72426164,3.7750925,0.28614895
1.1,0.007,4726449000.0,26619,3.72458798,3.7750917,0.28745424
1.1,0.007,4726449000.0,26620,3.7249367,3.77509809,0.28884165
1.1,0.007,4726449000.0,26621,3.72515983,3.77509569,0.28973595
1.1,0.007,4726449000.0,26622,3.72537185,3.77510173,0.29057734
1.1,0.007,4726449000.0,26623,3.72561891,3.77509356,0.29157299
1.1,0.007,4726449000.0,26624,3.72595561,3.77510788,0.29290459
1.1,0.007,4726449000.0,26625,3.72614296,3.77511084,0.29365047
1.1,0.007,4726449000.0,26627,3.72656388,3.7751184,0.29532539
1.1,0.007,4726449000.0,26628,3.72685112,3.77510377,0.29648821
1.1,0.007,4726449000.0,26630,3.72718065,3.77512418,0.29778498
1.1,0.007,4726449000.0,26631,3.72737628,3.77512023,0.29857086
1.1,0.007,4726449000.0,26632,3.72761229,3.77511362,0.29952085
1.1,0.007,4726449000.0,26633,3.72793455,3.77512744,0.30079525
1.1,0.007,4726449000.0,26617,3.7240252,3.77508057,0.28521587
1.1,0.007,4726449000.0,26626,3.72633504,3.77510518,0.29442389
1.1,0.007,4726449000.0,26629,3.72701547,3.77512519,0.29712372
1.1,0.007,4726449000.0,26607,3.72199756,3.77505973,0.27713248
1.1,0.007,4726449000.0,26615,3.72366815,3.77507842,0.28379092
1.1,0.007,4726449000.0,26599,3.72009306,3.7750357,0.26954485
1.1,0.007,4726449000.0,26634,3.72812784,3.77512961,0.30156578
1.1,0.007,4726449000.0,26598,3.7198716,3.77503038,0.26866508
1.1,0.007,4726449000.0,26600,3.72037193,3.77504745,0.27064762
1.1,0.007,4726449000.0,26601,3.72053479,3.77504382,0.27130213
1.1,0.007,4726449000.0,26602,3.72070461,3.77505039,0.27197432
1.1,0.007,4726449000.0,26603,3.72089849,3.77504722,0.2727523
1.1,0.007,4726449000.0,26604,3.72115133,3.77506338,0.27374672
1.1,0.007,4726449000.0,26605,3.72144086,3.77505913,0.27490812
1.1,0.007,4726449000.0,26606,3.72179402,3.77506072,0.27631802
1.1,0.007,4726449000.0,26608,3.72223605,3.77505565,0.27808981
1.1,0.007,4726449000.0,26609,3.72249593,3.77506736,0.27911678
1.1,0.007,4726449000.0,26610,3.72265103,3.77507675,0.2797273
1.1,0.007,4726449000.0,26611,3.72280402,3.7750782,0.28033732
1.1,0.007,4726449000.0,26612,3.72299001,3.77507982,0.28107908
1.1,0.007,4726449000.0,26613,3.72323286,3.77508595,0.28204361
1.1,0.007,4726449000.0,26614,3.72350842,3.77508548,0.28314547
1.1,0.007,4726449000.0,26616,3.72382992,3.77508832,0.28442762
1.1,0.007,4726449000.0,26635,3.72830164,3.77511672,0.30227338
