initial_mass,initial_Z,star_age,model_number,log_Teff,log_L,log_g
1.4,0.02,3268990000.0,143278,3.7336664,3.87218954,0.24370492
1.4,0.02,3268990000.0,143279,3.73370481,3.87233727,0.24371081
1.4,0.02,3268990000.0,143280,3.73367256,3.8721194,0.24379965
1.4,0.02,3268990000.0,143281,3.73368924,3.8721168,0.24386895
1.4,0.02,3268990000.0,143282,3.733717,3.87219048,0.24390629
1.4,0.02,3268990000.0,143283,3.73372751,3.87216552,0.24397325
1.4,0.02,3268990000.0,143284,3.73376573,3.87228855,0.24400306
1.4,0.02,3268990000.0,143285,3.73375784,3.87220052,0.24405948
1.4,0.02,3268990000.0,143286,3.73376369,3.87216151,0.24412186
1.4,0.02,3268990000.0,143288,3.73381067,3.87226215,0.2442091
1.4,0.02,3268990000.0,143289,3.73382379,3.872217,0.24430666
1.4,0.02,3268990000.0,143290,3.73382488,3.87214742,0.2443806
1.4,0.02,3268990000.0,143277,3.7336481,3.87217938,0.2436419
1.4,0.02,3268990000.0,143292,3.73386398,3.87220536,0.244479
1.4,0.02,3268990000.0,143293,3.73389058,3.8722914,0.24449934
1.4,0.02,3268990000.0,143294,3.73387997,3.87220461,0.24454365
1.4,0.02,3268990000.0,143295,3.73389346,3.87222657,0.24457564
1.4,0.02,3268990000.0,143296,3.73388252,3.87209498,0.24466345
1.4,0.02,3268990000.0,143297,3.73390796,3.87211398,0.24474616
1.4,0.02,3268990000.0,143298,3.73394696,3.87222388,0.24479224
1.4,0.02,3268990000.0,143299,3.73397628,3.87228199,0.24485135
1.4,0.02,3268990000.0,143287,3.73378369,3.87218867,0.24417469
1.4,0.02,3268990000.0,143291,3.73383857,3.87214171,0.24444105
1.4,0.02,3268990000.0,143254,3.73334313,3.87225228,0.24234981
1.4,0.02,3268990000.0,143275,3.73363148,3.87226548,0.24348939
1.4,0.02,3268990000.0,143251,3.73329972,3.87218593,0.24224257
1.4,0.02,3268990000.0,143253,3.73332248,3.87219889,0.24232063
1.4,0.02,3268990000.0,143255,3.73334947,3.87217266,0.24245471
1.4,0.02,3268990000.0,143256,3.73335905,3.87215518,0.24251052
1.4,0.02,3268990000.0,143257,3.73337447,3.87217892,0.24254843
1.4,0.02,3268990000.0,143258,3.73339444,3.8722333,0.24257388
1.4,0.02,3268990000.0,143259,3.73339839,3.87217132,0.24265164
1.4,0.02,3268990000.0,143260,3.7334028,3.87214279,0.2426978
1.4,0.02,3268990000.0,143261,3.73341404,3.87215396,0.24273157
1.4,0.02,3268990000.0,143262,3.73343805,3.87224084,0.24274069
1.4,0.02,3268990000.0,143263,3.73344558,3.87224244,0.24276919
1.4,0.02,3268990000.0,143264,3.73345248,3.872184,0.24285518
1.4,0.02,3268990000.0,143265,3.73346028,3.87216817,0.2429022
1.4,0.02,3268990000.0,143266,3.73346659,3.87214692,0.24294868
1.4,0.02,3268990000.0,143252,3.73330171,3.8721491,0.24228735
1.4,0.02,3268990000.0,143267,3.73347854,3.8721401,0.24300327
1.4,0.02,3268990000.0,143268,3.73351397,3.87221089,0.24307415
1.4,0.02,3268990000.0,143269,3.73354085,3.87225333,0.2431392
1.4,0.02,3268990000.0,143270,3.73353686,3.87218096,0.24319559
1.4,0.02,3268990000.0,143271,3.73355237,3.872204,0.24323459
