initial_mass,initial_Z,star_age,model_number,log_Teff,log_L,log_g
1.9,0.0005,648007700.0,44439,3.70208309,4.10720833,-0.04184255
1.9,0.0005,648007700.0,44438,3.70200066,4.10721123,-0.04217424
1.9,0.0005,648007700.0,44437,3.70184651,4.1072098,-0.0427878
1.9,0.0005,648007700.0,44436,3.70171787,4.10722902,-0.04332023
1.9,0.0005,648007700.0,44434,3.70149466,4.10721067,-0.04419266
1.9,0.0005,648007700.0,44431,3.70113907,4.10720931,-0.04560977
1.9,0.0005,648007700.0,44433,3.70141659,4.10721207,-0.04450541
1.9,0.0005,648007700.0,44432,3.70126786,4.10721028,-0.04509691
1.9,0.0005,648007700.0,44440,3.70216827,4.10722274,-0.04151717
1.9,0.0005,648007700.0,44435,3.70157662,4.10721099,-0.04386609
1.9,0.0005,648007700.0,44441,3.70227355,4.10720538,-0.04107982
1.9,0.0005,648007700.0,44448,3.70315093,4.10720619,-0.03757989
1.9,0.0005,648007700.0,44443,3.70256652,4.10721779,-0.03992331
1.9,0.0005,648007700.0,44444,3.70265575,4.10719935,-0.03954887
1.9,0.0005,648007700.0,44445,3.70274248,4.10721339,-0.0392169
1.9,0.0005,648007700.0,44446,3.70286484,4.10721753,-0.03873272
1.9,0.0005,648007700.0,44447,3.70299687,4.10720404,-0.03819241
1.9,0.0005,648007700.0,44430,3.70103405,4.10723028,-0.04604966
1.9,0.0005,648007700.0,44449,3.70323558,4.10720879,-0.03724485
1.9,0.0005,648007700.0,44450,3.7033237,4.10721032,-0.03689483
1.9,0.0005,648007700.0,44451,3.70343469,4.10720964,-0.03645132
1.9,0.0005,648007700.0,44452,3.70358765,4.10720573,-0.03583691
1.9,0.0005,648007700.0,44442,3.70241157,4.10722066,-0.04054436
1.9,0.0005,648007700.0,44429,3.70093192,4.10721529,-0.04644225
1.9,0.0005,648007700.0,44422,3.70013576,4.1072223,-0.04962506
1.9,0.0005,648007700.0,44427,3.70070808,4.10722554,-0.04734524
1.9,0.0005,648007700.0,44403,3.69820988,4.10722615,-0.05730981
1.9,0.0005,648007700.0,44404,3.69828024,4.10722718,-0.05703038
1.9,0.0005,648007700.0,44405,3.69835273,4.10722132,-0.0567355
1.9,0.0005,648007700.0,44406,3.69845461,4.10722636,-0.05633412
1.9,0.0005,648007700.0,44407,3.69857043,4.10722122,-0.05586706
1.9,0.0005,648007700.0,44409,3.69877642,4.10721394,-0.05503841
1.9,0.0005,648007700.0,44410,3.69885157,4.10722115,-0.05474597
1.9,0.0005,648007700.0,44411,3.69894941,4.1072151,-0.05434972
1.9,0.0005,648007700.0,44412,3.69907797,4.10722771,-0.05384945
1.9,0.0005,648007700.0,44413,3.69921784,4.10721628,-0.05328019
1.9,0.0005,648007700.0,44414,3.69929022,4.10721689,-0.0529922
1.9,0.0005,648007700.0,44415,3.6993689,4.10722692,-0.05268847
1.9,0.0005,648007700.0,44416,3.69946705,4.10721083,-0.05228094
1.9,0.0005,648007700.0,44417,3.69958773,4.10721956,-0.05180831
1.9,0.0005,648007700.0,44418,3.69973001,4.10720266,-0.05122396
1.9,0.0005,648007700.0,44419,3.69981788,4.10723312,-0.05090389
1.9,0.0005,648007700.0,44420,3.6998972,4.10721575,-0.0505702
1.9,0.0005,648007700.0,44421,3.69999874,4.10721672,-0.0501662
1.9,0.0005,648007700.0,44453,3.70375165,4.10720148,-0.03517829
1.9,0.0005,648007700.0,44423,3.70030684,4.1072111,-0.04893123
1.9,0.0005,648007700.0,44424,3.70038843,4.10722173,-0.04861646
1.9,0.0005,648007700.0,44425,3.70047091,4.10721695,-0.04828275
1.9,0.0005,648007700.0,44426,3.70057627,4.10721363,-0.04785917
1.9,0.0005,648007700.0,44428,3.7008556,4.10720215,-0.04673346
1.9,0.0005,648007700.0,44454,3.70383998,4.10720401,-0.03482843
1.9,0.0005,648007700.0,44462,3.70484425,4.10720448,-0.03082147
1.9,0.0005,648007700.0,44456,3.70405541,4.10721093,-0.03397573
1.9,0.0005,648007700.0,44485,3.70795568,4.10720446,-0.01840302
1.9,0.0005,648007700.0,44486,3.70808943,4.10720084,-0.01786551
1.9,0.0005,648007700.0,44487,3.70824672,4.10719851,-0.01723534
1.9,0.0005,648007700.0,44488,3.70843434,4.10718867,-0.01647664
1.9,0.0005,648007700.0,44489,3.70856135,4.10719426,-0.01597511
1.9,0.0005,648007700.0,44490,3.70866783,4.1071918,-0.01554764
1.9,0.0005,648007700.0,44491,3.70879951,4.1071913,-0.01502149
1.9,0.0005,648007700.0,44492,3.7089607,4.10719309,-0.01437983
1.9,0.0005,648007700.0,44493,3.70915089,4.10719255,-0.0136201
1.9,0.0005,648007700.0,44494,3.70927559,4.10719375,-0.01312342
1.9,0.0005,648007700.0,44495,3.70938276,4.10718162,-0.01268351
1.9,0.0005,648007700.0,44496,3.70952011,4.10719593,-0.01214953
1.9,0.0005,648007700.0,44497,3.70968372,4.10718227,-0.01148272
1.9,0.0005,648007700.0,44498,3.70987934,4.10719379,-0.0107133
1.9,0.0005,648007700.0,44499,3.709982,4.10718141,-0.0102912
1.9,0.0005,648007700.0,44500,3.71008882,4.10718016,-0.00986356
1.9,0.0005,648007700.0,44501,3.71023737,4.10719473,-0.00928504
1.9,0.0005,648007700.0,44502,3.71040447,4.10718019,-0.00860341
1.9,0.0005,648007700.0,44503,3.71066534,4.10720067,-0.00758196
