initial_mass,initial_Z,star_age,model_number,log_Teff,log_L,log_g
1.3,0.0025,2158496000.0,28306,3.71655618,3.89839294,0.15979511
1.3,0.0025,2158496000.0,28307,3.71669646,3.89838869,0.1603598
1.3,0.0025,2158496000.0,28308,3.71685037,3.89838945,0.16097397
1.3,0.0025,2158496000.0,28309,3.71702156,3.89838104,0.16166633
1.3,0.0025,2158496000.0,28310,3.7172304,3.89839223,0.16248951
1.3,0.0025,2158496000.0,28311,3.71748488,3.89839356,0.16350487
1.3,0.0025,2158496000.0,28315,3.7182434,3.89838786,0.16654136
1.3,0.0025,2158496000.0,28313,3.71783298,3.89838017,0.16490926
1.3,0.0025,2158496000.0,28314,3.71801754,3.89838512,0.16564168
1.3,0.0025,2158496000.0,28316,3.71851662,3.89838549,0.16763539
1.3,0.0025,2158496000.0,28317,3.71867279,3.8983936,0.16825119
1.3,0.0025,2158496000.0,28318,3.71883577,3.89839342,0.16890255
1.3,0.0025,2158496000.0,28305,3.71631805,3.89838961,0.1588471
1.3,0.0025,2158496000.0,28319,3.71904696,3.89839162,0.16974822
1.3,0.0025,2158496000.0,28320,3.71928222,3.89838298,0.17069684
1.3,0.0025,2158496000.0,28312,3.71768724,3.89837351,0.16433367
1.3,0.0025,2158496000.0,28304,3.71612054,3.89839053,0.15805709
1.3,0.0025,2158496000.0,28294,3.71425061,3.89838044,0.15059657
1.3,0.0025,2158496000.0,28302,3.71577402,3.89839129,0.15667188
1.3,0.0025,2158496000.0,28286,3.71285032,3.89838218,0.14500104
1.3,0.0025,2158496000.0,28321,3.71947025,3.89838162,0.17144968
1.3,0.0025,2158496000.0,28287,3.71307303,3.89838338,0.14588946
1.3,0.0025,2158496000.0,28288,3.71320439,3.89836973,0.14642782
1.3,0.0025,2158496000.0,28289,3.71334869,3.89837188,0.14700216
1.3,0.0025,2158496000.0,28290,3.71351363,3.89837757,0.14765536
1.3,0.0025,2158496000.0,28291,3.71371452,3.89838005,0.14845535
1.3,0.0025,2158496000.0,28303,3.7159556,3.8983839,0.15740475
1.3,0.0025,2158496000.0,28292,3.71396233,3.89837939,0.14944601
1.3,0.0025,2158496000.0,28295,3.71442393,3.89838871,0.15128068
1.3,0.0025,2158496000.0,28296,3.71463397,3.89838929,0.15211916
1.3,0.0025,2158496000.0,28297,3.71480427,3.89837871,0.15281028
1.3,0.0025,2158496000.0,28298,3.71493328,3.89838082,0.15332356
1.3,0.0025,2158496000.0,28299,3.71508789,3.89838495,0.15393711
1.3,0.0025,2158496000.0,28300,3.71527505,3.89838667,0.15468308
1.3,0.0025,2158496000.0,28301,3.71549562,3.89839107,0.15555983
1.3,0.0025,2158496000.0,28293,3.71410452,3.89837192,0.15002147
1.3,0.0025,2158496000.0,28322,3.71960188,3.89838269,0.17197452
1.3,0.0025,2158496000.0,28345,3.72520286,3.8983918,0.19434744
1.3,0.0025,2158496000.0,28324,3.71999587,3.8983857,0.17354577
1.3,0.0025,2158496000.0,28285,3.71266239,3.89838009,0.14425244
1.3,0.0025,2158496000.0,28346,3.72540029,3.89838715,0.19514106
1.3,0.0025,2158496000.0,28347,3.72561348,3.89839076,0.1959895
1.3,0.0025,2158496000.0,28348,3.72585808,3.8983974,0.19696035
1.3,0.0025,2158496000.0,28349,3.72615169,3.89839509,0.19813603
1.3,0.0025,2158496000.0,28350,3.72650306,3.89839134,0.19954397
1.3,0.0025,2158496000.0,28351,3.72673202,3.89839412,0.20045627
1.3,0.0025,2158496000.0,28344,3.72487167,3.89839677,0.19301893
1.3,0.0025,2158496000.0,28352,3.72696026,3.89838195,0.20138064
1.3,0.0025,2158496000.0,28354,3.72753703,3.89839164,0.20367602
1.3,0.0025,2158496000.0,28355,3.72793235,3.89839016,0.20525745
1.3,0.0025,2158496000.0,28356,3.72822315,3.89839468,0.20641536
1.3,0.0025,2158496000.0,28357,3.72845553,3.89839551,0.20734324
1.3,0.0025,2158496000.0,28358,3.72874675,3.898394,0.20850872
1.3,0.0025,2158496000.0,28359,3.72908683,3.89839404,0.20986786
1.3,0.0025,2158496000.0,28360,3.72934941,3.8983944,0.21091713
1.3,0.0025,2158496000.0,28353,3.72722144,3.8983895,0.2024169
1.3,0.0025,2158496000.0,28323,3.7197752,3.89838897,0.17266075
1.3,0.0025,2158496000.0,28343,3.72458562,3.89839418,0.19187836
1.3,0.0025,2158496000.0,28341,3.72416828,3.89837721,0.19022756
1.3,0.0025,2158496000.0,28325,3.72024981,3.89839281,0.17455332
1.3,0.0025,2158496000.0,28326,3.72056741,3.89839387,0.17582137
1.3,0.0025,2158496000.0,28327,3.72074825,3.89838454,0.17655324
1.3,0.0025,2158496000.0,28328,3.72093431,3.89838538,0.17729588
1.3,0.0025,2158496000.0,28329,3.72117338,3.89838075,0.17825583
1.3,0.0025,2158496000.0,28330,3.72145796,3.89838848,0.17938528
1.3,0.0025,2158496000.0,28331,3.72177644,3.8983833,0.18066302
1.3,0.0025,2158496000.0,28342,3.72435842,3.89838698,0.19097764
1.3,0.0025,2158496000.0,28332,3.72203006,3.89838079,0.18167922
1.3,0.0025,2158496000.0,28334,3.72248958,3.89839097,0.18350531
1.3,0.0025,2158496000.0,28335,3.72278129,3.89839407,0.18466792
1.3,0.0025,2158496000.0,28336,3.72296187,3.89838638,0.1853972
1.3,0.0025,2158496000.0,28337,3.72313789,3.89838724,0.18609975
1.3,0.0025,2158496000.0,28338,3.72334904,3.89838287,0.18694785
1.3,0.0025,2158496000.0,28339,3.72364754,3.89839892,0.18812481
1.3,0.0025,2158496000.0,28340,3.72396499,3.89838822,0.18940412
1.3,0.0025,2158496000.0,28333,3.72224863,3.89839015,0.18254334
1.3,0.0025,2158496000.0,28284,3.71250321,3.89838505,0.14361162
1.3,0.0025,2158496000.0,28261,3.70871275,3.89836718,0.1284891
1.3,0.0025,2158496000.0,28282,3.7121761,3.89837544,0.14231421
1.3,0.0025,2158496000.0,28227,3.70365488,3.89835077,0.10830749
1.3,0.0025,2158496000.0,28228,3.70378905,3.89835469,0.10883925
1.3,0.0025,2158496000.0,28229,3.70395519,3.89835287,0.10950445
1.3,0.0025,2158496000.0,28230,3.70414513,3.89835465,0.11026101
1.3,0.0025,2158496000.0,28231,3.70428851,3.89835154,0.11083678
1.3,0.0025,2158496000.0,28232,3.70440437,3.89834394,0.11130695
1.3,0.0025,2158496000.0,28233,3.70454707,3.89835842,0.11186224
1.3,0.0025,2158496000.0,28234,3.70473109,3.89835503,0.11260051
1.3,0.0025,2158496000.0,28235,3.70483354,3.89834547,0.11301911
1.3,0.0025,2158496000.0,28236,3.70493878,3.89835218,0.11343263
1.3,0.0025,2158496000.0,28237,3.70506385,3.89835645,0.11392776
1.3,0.0025,2158496000.0,28238,3.70521381,3.89835839,0.11452462
1.3,0.0025,2158496000.0,28239,3.70539389,3.89836141,0.11524065
1.3,0.0025,2158496000.0,28240,3.70549864,3.89835226,0.11566802
1.3,0.0025,2158496000.0,28241,3.70562309,3.89834759,0.11616974
1.3,0.0025,2158496000.0,28226,3.70354367,3.89834301,0.10787122
1.3,0.0025,2158496000.0,28225,3.7034272,3.89835345,0.10739572
1.3,0.0025,2158496000.0,28224,3.70324368,3.8983575,0.10665901
1.3,0.0025,2158496000.0,28223,3.70308976,3.8983514,0.10605056
1.3,0.0025,2158496000.0,28361,3.72954601,3.89839284,0.21170441
1.3,0.0025,2158496000.0,28208,3.70120343,3.89834665,0.0985245
1.3,0.0025,2158496000.0,28209,3.70133155,3.89834468,0.09903793
1.3,0.0025,2158496000.0,28210,3.7014855,3.89833725,0.0996599
1.3,0.0025,2158496000.0,28211,3.70157861,3.89834173,0.10002712
1.3,0.0025,2158496000.0,28212,3.70167225,3.89834218,0.10040047
1.3,0.0025,2158496000.0,28213,3.70178499,3.89834595,0.10084676
1.3,0.0025,2158496000.0,28242,3.70575644,3.8983556,0.11669422
