initial_mass,initial_Z,blue_loop_start_age,blue_loop_end_age,calculated_blue_loop_duration,instability_start_age,instability_end_age,calculated_instability_duration
6.0,0.0125,76145612.40892184,79494753.00370222,3349140.5948,76145612.40892184,79494753.00370222,3349140.5948
6.0,0.013,76537241.32531953,79932129.55655958,3394888.2312,76537241.32531953,79932129.55655958,3394888.2312
6.0,0.0135,76955723.90257175,80353752.83824806,3398028.9357,76955723.90257175,80353752.83824806,3398028.9357
6.0,0.014,77359777.40819292,80781789.90942362,3422012.5012,77359777.40819292,80781789.90942362,3422012.5012
6.0,0.0145,77775259.92427228,81210780.4640702,3435520.5398,77775259.92427228,81210780.4640702,3435520.5398
6.0,0.015,78215803.71141595,81640268.79793258,3424465.0865,78215803.71141595,81640268.79793258,3424465.0865
6.0,0.0155,78616724.45323932,82018595.96648265,3401871.5132,78616724.45323932,82018595.96648265,3401871.5132
6.0,0.016,79043284.60640027,82431914.3101212,3388629.7037,79043284.60640027,82431914.3101212,3388629.7037
6.0,0.0165,79483169.96267942,82802447.51325956,3319277.5506,79483169.96267942,82802447.51325956,3319277.5506
6.0,0.017,79922290.9923309,83200168.06178907,3277877.0695,79922290.9923309,83200168.06178907,3277877.0695
6.0,0.0175,80365777.90651701,83580592.46922852,3214814.5627,80365777.90651701,83580592.46922852,3214814.5627
6.0,0.018,80790991.64002948,83964017.13130358,3173025.4913,80790991.64002948,83964017.13130358,3173025.4913
6.0,0.0185,81253356.85544363,84327348.54664487,3073991.6912,81253356.85544363,84327348.54664487,3073991.6912
6.0,0.019,81707941.82038896,84691102.40294905,2983160.5826,81707941.82038896,84691102.40294905,2983160.5826
6.0,0.0195,82151344.47720228,84948659.40639317,2797314.9292,82151344.47720228,84948659.40639317,2797314.9292
6.0,0.02,82603999.89976768,85272262.92753582,2668263.0278,82603999.89976768,85272262.92753582,2668263.0278
6.5,0.0015,53455856.34939469,56323429.221069455,2867572.8717,53455856.34939469,56323429.221069455,2867572.8717
6.5,0.002,54565218.660761744,56999918.731132574,2434700.0704,54565218.660761744,56999918.731132574,2434700.0704
