initial_Z,initial_mass,blue_loop_crossing_count,blue_loop_duration_yr,blue_loop_start_age,blue_loop_end_age,instability_start_age,instability_end_age,calculated_blue_loop_duration,calculated_instability_duration,run_dir_path
0.0015,4.5,2,5241211.556502059,116228560.37459962,121469771.93110168,116228560.37459962,121469771.93110168,5241211.556502059,5241211.556502059,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0015
0.002,4.5,2,3731300.1175434887,119811273.15113804,123542573.26868153,119811273.15113804,123542573.26868153,3731300.1175434887,3731300.1175434887,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0020
0.0025,4.5,1,2629098.585861966,122666009.55288249,125295108.13874446,122666009.55288249,125295108.13874446,2629098.585861966,2629098.585861966,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0025
0.003,4.5,1,2859926.7567876875,124714035.8587349,127573962.6155226,124714035.8587349,127573962.6155226,2859926.7567876875,2859926.7567876875,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0030
0.0035,4.5,2,3307776.928523764,126566722.19161989,129874499.12014365,126566722.19161989,129874499.12014365,3307776.928523764,3307776.928523764,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0035
0.004,4.5,2,3910238.948128432,128067699.0553127,131977938.00344113,128067699.0553127,131977938.00344113,3910238.948128432,3910238.948128432,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0040
0.0045,4.5,2,4181853.8604646623,129242860.03397967,133424713.89444433,129242860.03397967,133424713.89444433,4181853.8604646623,4181853.8604646623,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0045
0.005,4.5,2,4491953.185506463,130482267.76108259,134974220.94658905,130482267.76108259,134974220.94658905,4491953.185506463,4491953.185506463,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0050
0.0055,4.5,2,4731285.393722877,131689539.0383179,136420824.43204078,131689539.0383179,136420824.43204078,4731285.393722877,4731285.393722877,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0055
0.006,4.5,2,5066146.0362959355,132898643.56678076,137964789.6030767,132898643.56678076,137964789.6030767,5066146.0362959355,5066146.0362959355,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0060
0.0065,4.5,2,5353362.388880864,134184275.1590593,139537637.54794016,134184275.1590593,139537637.54794016,5353362.388880864,5353362.388880864,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0065
0.007,4.5,2,5446303.62142244,135535587.16173428,140981890.78315672,135535587.16173428,140981890.78315672,5446303.62142244,5446303.62142244,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0070
0.0075,4.5,2,5620069.621424139,136884106.99599105,142504176.6174152,136884106.99599105,142504176.6174152,5620069.621424139,5620069.621424139,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0075
0.008,4.5,1,5802281.489236295,138204606.70833978,144006888.19757608,138204606.70833978,144006888.19757608,5802281.489236295,5802281.489236295,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0080
0.0085,4.5,1,5690757.129550785,139641873.49319184,145332630.62274262,139641873.49319184,145332630.62274262,5690757.129550785,5690757.129550785,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0085
0.009,4.5,1,5449051.840392023,141138104.51316154,146587156.35355356,141138104.51316154,146587156.35355356,5449051.840392023,5449051.840392023,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0090
0.0095,4.5,1,4881309.099283695,142657044.53362077,147538353.63290447,142657044.53362077,147538353.63290447,4881309.099283695,4881309.099283695,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0095
0.01,4.5,1,973673.1270208657,144200960.51718473,145174633.6442056,144200960.51718473,145174633.6442056,973673.1270208657,973673.1270208657,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0100
0.0015,5.0,2,4579771.760137364,92117770.3340521,96697542.09418947,92117770.3340521,96697542.09418947,4579771.760137364,4579771.760137364,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0015
0.002,5.0,2,3503453.517428711,94681414.04286548,98184867.5602942,94681414.04286548,98184867.5602942,3503453.517428711,3503453.517428711,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0020
0.0025,5.0,2,2643337.859799564,96758337.54715036,99401675.40694992,96758337.54715036,99401675.40694992,2643337.859799564,2643337.859799564,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0025
0.003,5.0,1,2144013.4240023345,98568229.8655198,100712243.28952214,98568229.8655198,100712243.28952214,2144013.4240023345,2144013.4240023345,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0030
0.0035,5.0,1,2409416.026677653,99992716.30960572,102402132.33628337,99992716.30960572,102402132.33628337,2409416.026677653,2409416.026677653,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0035
0.004,5.0,2,2825305.9423959255,101212158.84434937,104037464.7867453,101212158.84434937,104037464.7867453,2825305.9423959255,2825305.9423959255,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0040
