initial_Z,initial_mass,run_dir_path,blue_loop_crossing_count,blue_loop_duration_yr,max_log_L,max_log_Teff,max_log_R,first_model_number,last_model_number,first_age_yr,last_age_yr,blue_loop_start_age,blue_loop_end_age,instability_start_age,instability_end_age,calculated_blue_loop_duration,calculated_instability_duration
0.0035,4.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0035,2,3307776.928523764,3.3322097908111115,3.8053332320169093,1.747160341139362,1863,2019,126566722.19161989,129868224.1048475,126566722.19161989,129874499.12014365,126566722.19161989,129874499.12014365,3307776.928523764,3307776.928523764
0.004,4.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0040,2,3910238.948128432,3.322273623371488,3.850972389697657,1.726672179876835,1896,2031,128067699.0553127,131959397.13366765,128067699.0553127,131977938.00344113,128067699.0553127,131977938.00344113,3910238.948128432,3910238.948128432
0.0045,4.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0045,2,4181853.8604646623,3.30604669675921,3.864003201161331,1.722270649823644,1901,2036,129242860.03397967,133417215.3238938,129242860.03397967,133424713.89444433,129242860.03397967,133424713.89444433,4181853.8604646623,4181853.8604646623
0.005,4.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0050,2,4491953.185506463,3.28739878309,3.862867628351897,1.7130317354869231,1923,2052,130482267.76108259,134935861.79214567,130482267.76108259,134974220.94658905,130482267.76108259,134974220.94658905,4491953.185506463,4491953.185506463
0.0055,4.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0055,2,4731285.393722877,3.2696828875055663,3.8571381627126673,1.7025262603105487,1930,2063,131689539.0383179,136408746.12308004,131689539.0383179,136420824.43204078,131689539.0383179,136420824.43204078,4731285.393722877,4731285.393722877
0.006,4.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0060,2,5066146.0362959355,3.251221069754716,3.848876850524415,1.6935459134570854,1936,2079,132898643.56678076,137945564.08816847,132898643.56678076,137964789.6030767,132898643.56678076,137964789.6030767,5066146.0362959355,5066146.0362959355
0.0065,4.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0065,2,5353362.388880864,3.2331980129830855,3.8380128005211662,1.6867572073662687,1962,2104,134184275.1590593,139511305.31269327,134184275.1590593,139537637.54794016,134184275.1590593,139537637.54794016,5353362.388880864,5353362.388880864
0.007,4.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0070,2,5446303.62142244,3.214135241744324,3.8258421661285635,1.6732411033656722,1988,2156,135535587.16173428,140952945.58456624,135535587.16173428,140981890.78315672,135535587.16173428,140981890.78315672,5446303.62142244,5446303.62142244
0.0075,4.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0075,2,5620069.621424139,3.19491805903497,3.813983259847384,1.6654920938817983,2028,2219,136884106.99599105,142459479.43206537,136884106.99599105,142504176.6174152,136884106.99599105,142504176.6174152,5620069.621424139,5620069.621424139
0.008,4.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0080,1,5802281.489236295,3.1746607457410128,3.8014357168086237,1.652942468162631,2056,2236,138204606.70833978,143941555.47918862,138204606.70833978,144006888.19757608,138204606.70833978,144006888.19757608,5802281.489236295,5802281.489236295
0.0085,4.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0085,1,5690757.129550785,3.1542376948753326,3.7875603791420005,1.6409204790691794,2088,2261,139641873.49319184,145270434.90919456,139641873.49319184,145332630.62274262,139641873.49319184,145332630.62274262,5690757.129550785,5690757.129550785
0.009,4.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0090,1,5449051.840392023,3.132988697999832,3.773060289836696,1.6317305019135353,2116,2261,141138104.51316154,146540290.7649826,141138104.51316154,146587156.35355356,141138104.51316154,146587156.35355356,5449051.840392023,5449051.840392023
