initial_mass,initial_Z,mesa_run_directory,min_model_number,max_model_number
4.5,0.0100,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0100,2174.0,2192.0
5.0,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0015,1748.0,1956.0
5.0,0.0020,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0020,1783.0,1971.0
5.0,0.0025,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0025,1816.0,2003.0
5.0,0.0030,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0030,1831.0,1953.0
5.0,0.0035,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0035,1851.0,1993.0
5.0,0.0040,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0040,1868.0,2025.0
5.0,0.0045,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0045,1885.0,2042.0
5.0,0.0050,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0050,1892.0,2053.0
5.0,0.0055,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0055,1915.0,2072.0
5.0,0.0060,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0060,1920.0,2078.0
5.0,0.0065,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0065,1940.0,2092.0
5.0,0.0070,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0070,1952.0,2103.0
5.0,0.0075,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0075,1988.0,2139.0
5.0,0.0080,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0080,2003.0,2163.0
5.0,0.0085,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0085,2042.0,2212.0
5.0,0.0090,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0090,2073.0,2246.0
5.0,0.0095,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0095,2110.0,2301.0
5.0,0.0100,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0100,2132.0,2330.0
5.0,0.0105,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0105,2145.0,2334.0
5.0,0.0110,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0110,2183.0,2364.0
5.0,0.0115,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0115,2121.0,2284.0
5.0,0.0120,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0120,2135.0,2281.0
5.0,0.0125,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0125,2147.0,2276.0
5.0,0.0130,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0130,2159.0,2273.0
5.0,0.0135,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0135,2167.0,2259.0
5.0,0.0140,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0140,2174.0,2196.0
5.0,0.0145,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0145,2190.0,2198.0
5.5,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0015,1733.0,1968.0
5.5,0.0020,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0020,1772.0,1949.0
5.5,0.0025,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0025,1794.0,1969.0
5.5,0.0030,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0030,1821.0,2006.0
5.5,0.0035,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0035,1839.0,1999.0
5.5,0.0040,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0040,1858.0,2026.0
5.5,0.0045,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0045,1864.0,2034.0
5.5,0.0050,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0050,1876.0,2053.0
5.5,0.0055,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0055,1905.0,2085.0
5.5,0.0060,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0060,1913.0,2104.0
5.5,0.0065,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0065,1907.0,2095.0
5.5,0.0070,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0070,1935.0,2117.0
5.5,0.0075,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0075,1962.0,2140.0
5.5,0.0080,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0080,1993.0,2164.0
