initial_mass,initial_Z,blue_loop_start_age,blue_loop_end_age,calculated_blue_loop_duration,instability_start_age,instability_end_age,calculated_instability_duration
5.5,0.0065,90589980.896889,92607491.10811634,2017510.2112,90589980.896889,92607491.10811634,2017510.2112
5.5,0.007,91390474.9346232,93423562.7249278,2033087.7903,91390474.9346232,93423562.7249278,2033087.7903
5.5,0.0075,92136966.66535532,94238222.5498444,2101255.8845,92136966.66535532,94238222.5498444,2101255.8845
5.5,0.008,92931401.07188556,95045597.53275377,2114196.4609,92931401.07188556,95045597.53275377,2114196.4609
5.5,0.0085,93736995.1465318,95829332.59527344,2092337.4487,93736995.1465318,95829332.59527344,2092337.4487
5.5,0.009,94560908.0968678,96654882.63036416,2093974.5335,94560908.0968678,96654882.63036416,2093974.5335
5.5,0.0095,95388192.15117729,97379956.64234452,1991764.4912,95388192.15117729,97379956.64234452,1991764.4912
5.5,0.01,96218873.92248172,98120384.04897106,1901510.1265,96218873.92248172,98120384.04897106,1901510.1265
5.5,0.0105,96827434.6572953,98697151.53298631,1869716.8757,96827434.6572953,98697151.53298631,1869716.8757
5.5,0.011,97433364.4241192,99218613.35844342,1785248.9343,97433364.4241192,99218613.35844342,1785248.9343
5.5,0.0115,98019271.54114915,99625249.87151876,1605978.3304,98019271.54114915,99625249.87151876,1605978.3304
5.5,0.012,98677326.01624052,100044135.70705864,1366809.6908,98677326.01624052,100044135.70705864,1366809.6908
5.5,0.0125,99270476.80192608,100320476.23708215,1049999.4352,99270476.80192608,100320476.23708215,1049999.4352
5.5,0.013,99923769.13159116,100653461.1322614,729692.0007,99923769.13159116,100653461.1322614,729692.0007
5.5,0.0135,100573836.2654345,101047487.66662107,473651.4012,100573836.2654345,101047487.66662107,473651.4012
5.5,0.014,101277268.1155387,101426622.34856217,149354.233,101277268.1155387,101426622.34856217,149354.233
6.0,0.0015,67251632.9648251,69349169.8554244,2097536.8906,67251632.9648251,69349169.8554244,2097536.8906
6.0,0.002,68654595.01093279,69993441.53175637,1338846.5208,68654595.01093279,69993441.53175637,1338846.5208
6.0,0.0025,69754333.37926547,70702169.39518668,947836.0159,69754333.37926547,70702169.39518668,947836.0159
6.0,0.003,70781483.73563144,71263424.79067351,481941.055,70781483.73563144,71263424.79067351,481941.055
6.0,0.0035,71590858.32640837,72268727.51862918,677869.1922,71590858.32640837,72268727.51862918,677869.1922
6.0,0.004,72268822.93536739,73202016.49906243,933193.5637,72268822.93536739,73202016.49906243,933193.5637
6.0,0.0045,72771495.14635591,74113212.13463773,1341716.9883,72771495.14635591,74113212.13463773,1341716.9883
6.0,0.005,73337571.87257619,74812368.77219827,1474796.8996,73337571.87257619,74812368.77219827,1474796.8996
6.0,0.0055,73885190.06592724,75476437.4673781,1591247.4015,73885190.06592724,75476437.4673781,1591247.4015
6.0,0.006,74414575.66024858,76066938.57634914,1652362.9161,74414575.66024858,76066938.57634914,1652362.9161
6.0,0.0065,74966034.63894293,76633286.66940098,1667252.0305,74966034.63894293,76633286.66940098,1667252.0305
6.0,0.007,75515490.82616596,77243814.70558588,1728323.8794,75515490.82616596,77243814.70558588,1728323.8794
6.0,0.0075,76090187.82013148,77833982.3163472,1743794.4962,76090187.82013148,77833982.3163472,1743794.4962
6.0,0.008,76668686.40902054,78391813.71280444,1723127.3038,76668686.40902054,78391813.71280444,1723127.3038
6.0,0.0085,77255149.6591301,79007970.50125146,1752820.8421,77255149.6591301,79007970.50125146,1752820.8421
6.0,0.009,77861760.76779987,79614419.32097137,1752658.5532,77861760.76779987,79614419.32097137,1752658.5532
6.0,0.0095,78447640.1059409,80207290.08219115,1759649.9763,78447640.1059409,80207290.08219115,1759649.9763
6.0,0.01,79092575.34159075,80803789.84992385,1711214.5083,79092575.34159075,80803789.84992385,1711214.5083
6.0,0.0105,79533769.06286533,81270685.52872679,1736916.4659,79533769.06286533,81270685.52872679,1736916.4659
6.0,0.011,79980196.42058481,81684057.56896159,1703861.1484,79980196.42058481,81684057.56896159,1703861.1484
6.0,0.0115,80408500.63134867,82070388.85851613,1661888.2272,80408500.63134867,82070388.85851613,1661888.2272
6.0,0.012,80840963.03611568,82488445.36383927,1647482.3277,80840963.03611568,82488445.36383927,1647482.3277
6.0,0.0125,81299779.8918395,82842673.85186368,1542893.96,81299779.8918395,82842673.85186368,1542893.96
6.0,0.013,81761117.34496213,83239378.10108109,1478260.7561,81761117.34496213,83239378.10108109,1478260.7561
6.0,0.0135,82217592.2838598,83621237.93643323,1403645.6526,82217592.2838598,83621237.93643323,1403645.6526
6.0,0.014,82683626.7781505,83986215.83691418,1302589.0588,82683626.7781505,83986215.83691418,1302589.0588
6.0,0.0145,83137614.8650153,84253673.91973722,1116059.0547,83137614.8650153,84253673.91973722,1116059.0547
6.0,0.015,83623927.10700189,84467379.01084834,843451.9038,83623927.10700189,84467379.01084834,843451.9038
6.0,0.0155,84093376.38538928,84749536.13489977,656159.7495,84093376.38538928,84749536.13489977,656159.7495
6.0,0.016,84578206.87855013,85041870.65858136,463663.78,84578206.87855013,85041870.65858136,463663.78
6.0,0.0165,85079019.82405724,85369789.1171983,290769.2931,85079019.82405724,85369789.1171983,290769.2931
6.5,0.0015,57223599.9732985,59054556.29788186,1830956.3246,57223599.9732985,59054556.29788186,1830956.3246
6.5,0.002,58314598.40667068,59593524.94942918,1278926.5428,58314598.40667068,59593524.94942918,1278926.5428
6.5,0.0025,59214850.76562984,60056369.23834841,841518.4727,59214850.76562984,60056369.23834841,841518.4727
