initial_mass,initial_Z,mesa_run_directory,min_model_number,max_model_number
5.0,0.0075,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0075,2026,2137
5.0,0.0080,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0080,2038,2153
5.0,0.0085,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0085,2067,2173
5.0,0.0090,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0090,2109,2196
5.0,0.0095,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0095,2130,2197
5.0,0.0100,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0100,2153,2192
5.0,0.0105,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0105,2150,2168
5.5,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0015,1775,1940
5.5,0.0020,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0020,1812,1947
5.5,0.0025,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0025,1833,1881
5.5,0.0030,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0030,1845,1878
5.5,0.0035,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0035,1872,1932
5.5,0.0040,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0040,1897,2007
5.5,0.0045,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0045,1907,2032
5.5,0.0050,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0050,1923,2056
5.5,0.0055,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0055,1940,2083
5.5,0.0060,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0060,1947,2095
5.5,0.0065,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0065,1956,2100
