initial_Z,initial_mass,blue_loop_crossing_count,blue_loop_duration_yr,blue_loop_start_age,blue_loop_end_age,instability_start_age,instability_end_age,calculated_blue_loop_duration,calculated_instability_duration,run_dir_path
0.0045,4.5,2,2754045.0974101424,136987702.64424145,139741747.7416516,136987702.64424145,139741747.7416516,2754045.0974101424,2754045.0974101424,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.5MSUN_z0.0045
0.005,4.5,2,2836786.687908113,138450180.9029496,141286967.5908577,138450180.9029496,141286967.5908577,2836786.687908113,2836786.687908113,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.5MSUN_z0.0050
0.006,4.5,2,2985894.8270230293,141368389.00071704,144354283.82774007,141368389.00071704,144354283.82774007,2985894.8270230293,2985894.8270230293,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.5MSUN_z0.0060
0.0065,4.5,1,2930340.3079827726,142865147.09992638,145795487.40790915,142865147.09992638,145795487.40790915,2930340.3079827726,2930340.3079827726,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.5MSUN_z0.0065
0.007,4.5,1,2681152.2568941116,144449783.363394,147130935.6202881,144449783.363394,147130935.6202881,2681152.2568941116,2681152.2568941116,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.5MSUN_z0.0070
0.0075,4.5,1,2294290.1458227336,146051253.81883544,148345543.96465817,146051253.81883544,148345543.96465817,2294290.1458227336,2294290.1458227336,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.5MSUN_z0.0075
0.008,4.5,1,1256414.1877886057,147698010.5689662,148954424.75675482,147698010.5689662,148954424.75675482,1256414.1877886057,1256414.1877886057,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.5MSUN_z0.0080
0.0015,5.0,2,2604205.408386484,98725606.6618684,101329812.07025488,98725606.6618684,101329812.07025488,2604205.408386484,2604205.408386484,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0015
0.002,5.0,1,1488906.4680244327,101158639.29584403,102647545.76386847,101158639.29584403,102647545.76386847,1488906.4680244327,1488906.4680244327,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0020
0.0025,5.0,1,1035459.8137719631,103002642.5653669,104038102.37913886,103002642.5653669,104038102.37913886,1035459.8137719631,1035459.8137719631,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0025
