mass,Z,model_number,profile_number,log_L,log_Teff,star_mass_mesa,freq_real,freq_imag,l,n_pg,eta,detail_file_path,profile_folder_path,center_h1,star_age,log_g,integrated_work_HeII_zone,integrated_work_HHeI_zone
3.5,0.002,1900,92,3.00095051486366,3.8114076416128193,3.5,0.4009701053109639,-0.00042352352937917437,0,1,-0.2439997712379439,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00092/detail.l0.n+1.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00092,0.0,215642401.51072776,2.181509401512032,,0.019710964638993626
3.5,0.002,1900,92,3.00095051486366,3.8114076416128193,3.5,0.8528819205141314,-0.011857413139055858,0,4,-0.9984669716005575,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00092/detail.l0.n+4.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00092,0.0,215642401.51072776,2.181509401512032,,-1.6193275869405714
3.5,0.002,1910,93,3.0048768185129333,3.8170262260380414,3.5,0.415511203673017,-0.0005098281727001876,0,1,-0.29725686179125904,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00093/detail.l0.n+1.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00093,0.0,215974640.9132936,2.200057435563652,,0.015746793961612937
3.5,0.002,1910,93,3.0048768185129333,3.8170262260380414,3.5,0.5712096722169663,-0.001685083045493574,0,2,-0.2027896956110587,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00093/detail.l0.n+2.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00093,0.0,215974640.9132936,2.200057435563652,,0.13923586884337424
3.5,0.002,1920,94,3.01110446304348,3.8239705521949823,3.5,0.4331063802387275,-0.0006187488511354628,0,1,-0.3652170265483533,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00094/detail.l0.n+1.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00094,2.51960840766196e-41,216590586.6527393,2.221607095660864,,0.012736245832989063
3.5,0.002,1920,94,3.01110446304348,3.8239705521949823,3.5,0.9110616914125154,-0.0124542120313709,0,4,-0.9987309251253501,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00094/detail.l0.n+4.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00094,2.51960840766196e-41,216590586.6527393,2.221607095660864,,-1.405939134580172
3.5,0.002,1930,95,3.0176300167837904,3.829493192104089,3.5,0.44621645750039884,-0.0007049135438728458,0,1,-0.417192724569382,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00095/detail.l0.n+1.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00095,0.0,217250039.18377665,2.237172101556979,,0.010907443453228822
3.5,0.002,1930,95,3.0176300167837904,3.829493192104089,3.5,0.9348558213155025,-0.012730650794734507,0,4,-0.9988409209564791,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00095/detail.l0.n+4.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00095,0.0,217250039.18377665,2.237172101556979,,-1.308385283342616
3.5,0.002,1940,96,3.0244510327140026,3.82878523395,3.5,0.43809255107936834,-0.0007113148581788025,0,1,-0.4151648472844839,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00096/detail.l0.n+1.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00096,0.0,218144964.16723776,2.2275192530104144,,0.010954861126958787
3.5,0.002,1940,96,3.0244510327140026,3.82878523395,3.5,0.9192703701590135,-0.012845868279098093,0,4,-0.9990701598771171,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00096/detail.l0.n+4.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00096,0.0,218144964.16723776,2.2275192530104144,,-1.3380555876105489
3.5,0.002,1950,97,3.027659126068953,3.7996682287770103,3.5,0.8970897022270199,-0.02139799490259879,0,5,-0.9999626132188429,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00097/detail.l0.n+5.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00097,0.0,219331128.5261528,2.107843138963504,,-5.046015686370873
3.5,0.002,1960,98,3.02559147212256,3.767264091895004,3.5,0.27035366128700955,0.00027188992220625465,0,1,0.12633773741939408,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00098/detail.l0.n+1.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00098,0.0,219929323.16225764,1.9802942453818664,,0.0866270914928948
