initial_mass,initial_Z,blue_loop_start_age,blue_loop_end_age,calculated_blue_loop_duration,instability_start_age,instability_end_age,calculated_instability_duration
4.5,0.0035,122042989.81303456,124372319.28595152,2329329.4729,122042989.81303456,124372319.28595152,2329329.4729
4.5,0.004,123835802.92223608,126770288.96419355,2934486.042,123835802.92223608,126770288.96419355,2934486.042
4.5,0.0045,124768895.56753756,129026315.08975938,4257419.5222,124768895.56753756,129026315.08975938,4257419.5222
4.5,0.005,125375322.20549424,130456435.9276126,5081113.7221,125375322.20549424,130456435.9276126,5081113.7221
4.5,0.0055,126513270.31504764,131925547.01848756,5412276.7034,126513270.31504764,131925547.01848756,5412276.7034
4.5,0.006,127389989.64938956,133393813.29651415,6003823.6471,127389989.64938956,133393813.29651415,6003823.6471
4.5,0.0065,128359894.8070938,134823352.53090876,6463457.7238,128359894.8070938,134823352.53090876,6463457.7238
4.5,0.007,129356729.29524596,136296163.99247074,6939434.6972,129356729.29524596,136296163.99247074,6939434.6972
4.5,0.0075,130493796.73077434,137848015.469324,7354218.7385,130493796.73077434,137848015.469324,7354218.7385
4.5,0.008,131541398.35576274,139353264.81934318,7811866.4636,131541398.35576274,139353264.81934318,7811866.4636
4.5,0.0085,132691123.66704664,140865804.93158767,8174681.2645,132691123.66704664,140865804.93158767,8174681.2645
4.5,0.009,133910186.81320004,142265726.05870932,8355539.2455,133910186.81320004,142265726.05870932,8355539.2455
4.5,0.0095,135030697.57657197,143775744.73679328,8745047.1602,135030697.57657197,143775744.73679328,8745047.1602
4.5,0.01,136535416.90990734,144889933.1721652,8354516.2623,136535416.90990734,144889933.1721652,8354516.2623
4.5,0.0105,137501589.6321246,145883005.0987058,8381415.4666,137501589.6321246,145883005.0987058,8381415.4666
4.5,0.011,138356156.23469797,146708065.0890052,8351908.8543,138356156.23469797,146708065.0890052,8351908.8543
4.5,0.0115,139384931.32286453,147128970.9606694,7744039.6378,139384931.32286453,147128970.9606694,7744039.6378
4.5,0.012,140335921.6673582,147471288.25543955,7135366.5881,140335921.6673582,147471288.25543955,7135366.5881
4.5,0.0125,141391954.66244876,142345730.1263135,953775.4639,141391954.66244876,142345730.1263135,953775.4639
4.5,0.013,142498403.3219641,142867730.34504142,369327.0231,142498403.3219641,142867730.34504142,369327.0231
5.0,0.0015,86177196.00510639,93215669.8874406,7038473.8823,86177196.00510639,93215669.8874406,7038473.8823
5.0,0.002,88743463.88909468,94831381.7589322,6087917.8698,88743463.88909468,94831381.7589322,6087917.8698
5.0,0.0025,91007070.33964604,96072500.6226297,5065430.283,91007070.33964604,96072500.6226297,5065430.283
5.0,0.003,93235289.88705264,97221077.16280428,3985787.2758,93235289.88705264,97221077.16280428,3985787.2758
5.0,0.0035,95398924.95567966,98289258.0310979,2890333.0754,95398924.95567966,98289258.0310979,2890333.0754
5.0,0.004,97256956.96895072,99606922.1385153,2349965.1696,97256956.96895072,99606922.1385153,2349965.1696
5.0,0.0045,98451730.75343303,100785129.83805954,2333399.0846,98451730.75343303,100785129.83805954,2333399.0846
5.0,0.005,99003479.46520944,102490194.5364064,3486715.0712,99003479.46520944,102490194.5364064,3486715.0712
5.0,0.0055,99727783.77068734,103574730.70112564,3846946.9304,99727783.77068734,103574730.70112564,3846946.9304
5.0,0.006,100387362.60913156,104613932.73078012,4226570.1216,100387362.60913156,104613932.73078012,4226570.1216
5.0,0.0065,101057542.68319468,105689818.13776128,4632275.4546,101057542.68319468,105689818.13776128,4632275.4546
5.0,0.007,101779404.54827744,106797010.68125264,5017606.133,101779404.54827744,106797010.68125264,5017606.133
5.0,0.0075,102517552.3232796,107874519.43722495,5356967.1139,102517552.3232796,107874519.43722495,5356967.1139
5.0,0.008,103247499.41130432,108920890.2664137,5673390.8551,103247499.41130432,108920890.2664137,5673390.8551
5.0,0.0085,104050675.44745047,109983673.86831696,5932998.4209,104050675.44745047,109983673.86831696,5932998.4209
5.0,0.009,104830213.4312664,111084497.03598872,6254283.6047,104830213.4312664,111084497.03598872,6254283.6047
5.0,0.0095,105673965.60728768,112201646.30538727,6527680.6981,105673965.60728768,112201646.30538727,6527680.6981
5.0,0.01,106596087.59929924,113271053.40305698,6674965.8038,106596087.59929924,113271053.40305698,6674965.8038
5.0,0.0105,107175807.10545865,114193491.5468708,7017684.4414,107175807.10545865,114193491.5468708,7017684.4414
5.0,0.011,107797128.72940356,114860400.33341034,7063271.604,107797128.72940356,114860400.33341034,7063271.604
5.0,0.0115,108534552.3223959,115589839.75506862,7055287.4327,108534552.3223959,115589839.75506862,7055287.4327
5.0,0.012,109168928.84079376,116340315.36641169,7171386.5256,109168928.84079376,116340315.36641169,7171386.5256
5.0,0.0125,109825676.87310728,117119510.16222298,7293833.2891,109825676.87310728,117119510.16222298,7293833.2891
5.0,0.013,110467369.52764717,117842371.9236248,7375002.396,110467369.52764717,117842371.9236248,7375002.396
5.0,0.0135,111247219.67352828,118526073.39418088,7278853.7207,111247219.67352828,118526073.39418088,7278853.7207
5.0,0.014,111835063.5093018,119349048.72959743,7513985.2203,111835063.5093018,119349048.72959743,7513985.2203
5.0,0.0145,112642986.99283576,119911094.12521452,7268107.1324,112642986.99283576,119911094.12521452,7268107.1324
5.0,0.015,113316724.36369208,120571682.18254384,7254957.8189,113316724.36369208,120571682.18254384,7254957.8189
5.0,0.0155,114046126.48898466,121179409.2195484,7133282.7306,114046126.48898466,121179409.2195484,7133282.7306
5.0,0.016,114864919.22378492,121623864.61528872,6758945.3915,114864919.22378492,121623864.61528872,6758945.3915
5.0,0.0165,115611842.6003312,122024545.21829994,6412702.618,115611842.6003312,122024545.21829994,6412702.618
5.0,0.017,116319444.87494063,122288754.7639362,5969309.889,116319444.87494063,122288754.7639362,5969309.889
5.0,0.0175,117176648.65491983,118001102.18311016,824453.5282,117176648.65491983,118001102.18311016,824453.5282
5.0,0.018,117971604.07404935,118450643.0203315,479038.9463,117971604.07404935,118450643.0203315,479038.9463
5.5,0.0015,70255591.41182366,76132960.70409821,5877369.2923,70255591.41182366,76132960.70409821,5877369.2923
5.5,0.002,72161285.90026799,77342346.04053798,5181060.1403,72161285.90026799,77342346.04053798,5181060.1403
5.5,0.0025,73743817.51439753,78241635.6282983,4497818.1139,73743817.51439753,78241635.6282983,4497818.1139
5.5,0.003,75351574.29353946,79135160.34110104,3783586.0476,75351574.29353946,79135160.34110104,3783586.0476
5.5,0.0035,76920564.73562501,79980494.64834327,3059929.9127,76920564.73562501,79980494.64834327,3059929.9127
5.5,0.004,78404035.0025383,80796049.21687679,2392014.2143,78404035.0025383,80796049.21687679,2392014.2143
